domain,name
politifact.com,Politifact
factcheck.org,FactCheck
washingtonpost.com/news/fact-checker,Washington Post Fact Checker
snopes.com,Snopes
truthorfiction.com,TruthorFiction
leadstories.com,LeadStories
hoax-slayer.net,Hoax-Slayer
fullfact.org,Full Fact
realclearpolitics.com/fact_check_review/,RealClearPolitics
factly.in,Factly
toolbox.google.com/factcheck/,Google Fact Check Explorer
factcheck.afp.com,AFP Fact Check
factrakers.org,FactRakers
factmyth.com,FactMyth
checkyourfact.com,CheckYourFact
flackcheck.org,FlackCheck
