domain,sources,date_snapshotted,available,mbfc_tags,ng_tags,os_tags,pf_tags
100percentfedup.com,OpenSources;MBFC;Allcott18;NewsGuard,,TRUE,,falseContent;basicStandards;newsOpinion;deceptiveHeadlines;accountabilityPractices;ownership;management;contentCreators,bias,
10news.one,MBFC,,TRUE,Extreme Right;Propaganda;Conspiracy;Hate Group;Lack of Transparency,,,
12minutos.com,Buzzfeed17;Buzzfeed18;Allcott18;Grinberg19,,FALSE,,,,
16wmpo.com,OpenSources;PolitiFact;Allcott18;Grinberg19,,FALSE,,,fake,
20minutenews.com,Buzzfeed17;Buzzfeed18;Allcott18;Grinberg19,,FALSE,,,,
21stcenturywire.com,OpenSources,,TRUE,,,conspiracy,
247newsmedia.com,MBFC;PolitiFact;Allcott18;Grinberg19,,FALSE,Extreme Right;Fake News,,,
24aktuelles.com,Buzzfeed17;Buzzfeed18;Allcott18;Grinberg19,,FALSE,,,,
24newsflash.com,OpenSources,,FALSE,,,fake,
24online.news,PolitiFact;Allcott18;Grinberg19,,FALSE,,,,
24usainfo.com,Allcott18;Grinberg19,,FALSE,,,,
24wpn.com,OpenSources;MBFC;PolitiFact;Allcott18;Grinberg19,,FALSE,Extreme Right;Propaganda;Some Fake News,,fake,
24x365live.com,Buzzfeed17;Buzzfeed18;PolitiFact;Allcott18,,FALSE,,,,
2ndvote.com,Allcott18,,TRUE,,,,
365usanews.com,OpenSources,,FALSE,,,bias;conspiracy,
365usnews.com,Allcott18,,FALSE,,,,
4threvolutionarywar.wordpress.com,OpenSources,,TRUE,,,bias;conspiracy,
70news.wordpress.com,OpenSources;Wikipedia;MBFC;CBS,,FALSE,Extreme Right;Fake News,,fake,
7newspolitical.site,FactCheck,,FALSE,,,,
82.221.129.208,OpenSources,,FALSE,,,conspiracy;fake,
8shit.net,Buzzfeed18;NewsGuard,,TRUE,,falseContent;basicStandards;accountabilityPractices;deceptiveHeadlines;contentCreators;management;ownership,,
a-news24.com,PolitiFact;Allcott18,,FALSE,,,,
aattp.org,MBFC,,FALSE,Extreme Left;Propaganda,,,
abc14news.com,Buzzfeed18;NewsGuard,,FALSE,,falseContent;basicStandards;accountabilityPractices;deceptiveHeadlines;ownership;management;contentCreators,,
abcnews-us.com,Snopes;MBFC;Buzzfeed17;Buzzfeed18;Allcott18;NewsGuard,,FALSE,Impostor Site;Fake News;Lack of Transparency,falseContent;basicStandards;accountabilityPractices;deceptiveHeadlines;ownership;management;contentCreators,,
abcnews.com.co,OpenSources;Wikipedia;CBS;Buzzfeed16;Buzzfeed17;Buzzfeed18;PolitiFact;Allcott18;Grinberg19,,FALSE,,,fake,
abcnews.live,Buzzfeed18,,FALSE,,,,
abcnewsgo.co,OpenSources,,FALSE,,,fake,
abeldanger.net,OpenSources,,FALSE,,,conspiracy,
abilenetimes.com,NYTimesPinkSlime,,,,,,
abovetopsecret.com,OpenSources,,TRUE,,,conspiracy;rumor,
abqtimes.com,NYTimesPinkSlime,,,,,,
abriluno.com,OpenSources,,TRUE,,,satire;fake,
aclj.org,NewsGuard,,TRUE,,basicStandards;accountabilityPractices;ownership;management;contentCreators,,
acpeds.org,MBFC,,TRUE,Hate Group;Poor Sourcing,,,
actforamerica.org/news,OpenSources,,FALSE,,,hate,
actionnews3.com,Snopes,,TRUE,,,,
activistmommy.com,MBFC,,TRUE,Extreme Right;Propaganda;Conspiracy;Anti-LGBT,,,
activistpost.com,OpenSources;Allcott18,,TRUE,,,conspiracy,
actualidadpanamericana.com,OpenSources;PolitiFact;Allcott18,,TRUE,,,satire,
